facility_id,name,candidate_type,candidate_value,confidence,role,candidate_source_url,raw_sha256,review_status
nca_042,Baxter Springs City Soldiers' Lot,phone,913-727-1376,low,possibly_non_primary,https://www.cem.va.gov/cems/lots/BaxterSprings.asp,469191d4115e0db9a4642593a62d6ba3a7631519104d523ec6f2c0a877c06da6,candidate_not_approved
nca_042,Baxter Springs City Soldiers' Lot,phone,913-727-1905,low,possibly_non_primary,https://www.cem.va.gov/cems/lots/BaxterSprings.asp,469191d4115e0db9a4642593a62d6ba3a7631519104d523ec6f2c0a877c06da6,candidate_not_approved
nca_042,Baxter Springs City Soldiers' Lot,phone,866-900-6417,low,national_or_shared,https://www.cem.va.gov/cems/lots/BaxterSprings.asp,469191d4115e0db9a4642593a62d6ba3a7631519104d523ec6f2c0a877c06da6,candidate_not_approved
nca_042,Baxter Springs City Soldiers' Lot,phone,800-535-1117,low,national_or_shared,https://www.cem.va.gov/cems/lots/BaxterSprings.asp,469191d4115e0db9a4642593a62d6ba3a7631519104d523ec6f2c0a877c06da6,candidate_not_approved
nca_042,Baxter Springs City Soldiers' Lot,phone,800-799-4889,low,national_or_shared,https://www.cem.va.gov/cems/lots/BaxterSprings.asp,469191d4115e0db9a4642593a62d6ba3a7631519104d523ec6f2c0a877c06da6,candidate_not_approved
nca_042,Baxter Springs City Soldiers' Lot,hours,HOURS Visitation Hours: Open daily from sunrise to sunset.,medium,facility_hours_candidate,https://www.cem.va.gov/cems/lots/BaxterSprings.asp,469191d4115e0db9a4642593a62d6ba3a7631519104d523ec6f2c0a877c06da6,candidate_not_approved
nca_042,Baxter Springs City Soldiers' Lot,hours,Office Hours: Monday thru Friday 7:30 a.m.,medium,facility_hours_candidate,https://www.cem.va.gov/cems/lots/BaxterSprings.asp,469191d4115e0db9a4642593a62d6ba3a7631519104d523ec6f2c0a877c06da6,candidate_not_approved
nca_042,Baxter Springs City Soldiers' Lot,hours,Closed federal holidays except Memorial Day.,low,facility_hours_candidate,https://www.cem.va.gov/cems/lots/BaxterSprings.asp,469191d4115e0db9a4642593a62d6ba3a7631519104d523ec6f2c0a877c06da6,candidate_not_approved
nca_054,Congressional Cemetery Government Lots,phone,410-644-9696,low,possibly_non_primary,https://www.cem.va.gov/cems/lots/Congressional.asp,871c7b21e5bc566aedc476548574b0dcb412e84cc7ab25ef466a15ca7158fc37,candidate_not_approved
nca_054,Congressional Cemetery Government Lots,phone,410-644-1563,low,possibly_non_primary,https://www.cem.va.gov/cems/lots/Congressional.asp,871c7b21e5bc566aedc476548574b0dcb412e84cc7ab25ef466a15ca7158fc37,candidate_not_approved
nca_054,Congressional Cemetery Government Lots,phone,866-900-6417,low,national_or_shared,https://www.cem.va.gov/cems/lots/Congressional.asp,871c7b21e5bc566aedc476548574b0dcb412e84cc7ab25ef466a15ca7158fc37,candidate_not_approved
